,year,county,dgCount,povPcnt,realMedInc,lfpr,lf_size
1703,2002,Rockbridge County,0.0,9.6,51746.81,0.9650701039827182,11030.0
1704,2003,Rockbridge County,0.0,9.8,51839.06,0.9627182066602754,11196.0
1705,2004,Rockbridge County,0.0,9.3,53412.45,0.9666257518090222,10884.0
1706,2005,Rockbridge County,1.0,9.8,51989.83,0.9687110244978644,11233.0
1707,2006,Rockbridge County,0.0,12.0,52350.05,0.9724129862772856,11238.0
1708,2007,Rockbridge County,0.0,10.4,52998.19,0.9707852611449376,11240.0
1709,2008,Rockbridge County,0.0,11.6,52887.36,0.9587898570231509,11504.0
1710,2009,Rockbridge County,0.0,11.1,51523.28,0.9354938583541302,11671.0
1711,2010,Rockbridge County,0.0,12.2,51363.42,0.924675663532116,11142.0
1712,2011,Rockbridge County,0.0,12.9,47628.67,0.9321044824078176,11010.0
1713,2012,Rockbridge County,0.0,12.5,51398.37,0.9391380116798698,10768.0
1714,2013,Rockbridge County,0.0,13.6,50618.87,0.941941106672604,10416.0
1715,2014,Rockbridge County,0.0,13.0,51490.64,0.9465907824812642,10291.0
1716,2015,Rockbridge County,0.0,12.8,50410.03,0.9529230261370228,10320.0
1717,2016,Rockbridge County,0.0,12.3,52916.77,0.9557856136514356,10448.0
1718,2017,Rockbridge County,0.0,12.6,54912.74,0.9587380701309866,10570.0
1719,2018,Rockbridge County,0.0,12.0,53413.0,0.9695612308776724,10567.0
1720,1999,Rockingham County,0.0,8.2,61086.55,0.987439252816617,37455.0
1721,2000,Rockingham County,0.0,7.7,61838.05,0.9829621835512646,36123.0
1722,2001,Rockingham County,0.0,7.5,59854.71,0.9756930107319541,36893.0
1723,2002,Rockingham County,0.0,8.3,59628.5,0.9649923389378036,37652.0
1724,2003,Rockingham County,1.0,8.9,59845.46,0.968165707310908,38992.0
1725,2004,Rockingham County,0.0,8.5,60284.73,0.9689702969051704,39650.0
1726,2005,Rockingham County,0.0,8.0,61423.66,0.9698671713077116,40244.0
1727,2006,Rockingham County,1.0,8.7,59601.22,0.9757737632704996,42116.0
1728,2007,Rockingham County,0.0,8.3,59908.57,0.975118700299306,41530.0
1729,2008,Rockingham County,0.0,9.2,62006.68,0.9665646807746144,42270.0
1730,2009,Rockingham County,1.0,10.4,56273.66,0.9413760568218053,41705.0
1731,2010,Rockingham County,0.0,10.8,56737.29,0.9326801017619304,40373.0
1732,2011,Rockingham County,0.0,9.6,57988.67,0.9396483656669964,41314.0
1733,2012,Rockingham County,0.0,10.8,56031.0,0.9433266572867804,40874.0
1734,2013,Rockingham County,0.0,9.6,60070.64,0.9492488012148173,40622.0
1735,2014,Rockingham County,0.0,11.7,59242.32,0.9530799869578082,40350.0
1736,2015,Rockingham County,0.0,11.0,56125.02,0.9588708046707032,40105.0
1737,2016,Rockingham County,0.0,9.7,60330.56,0.9644860766682658,40502.0
1738,2017,Rockingham County,1.0,8.4,60942.22,0.9675455366223344,40587.0
1739,2018,Rockingham County,0.0,8.7,61375.0,0.9728952787888296,41081.0
1740,1999,Russell County,0.0,16.1,40637.18,0.9181500804990916,14110.0
1741,2000,Russell County,0.0,16.7,40765.73,0.9480826744462146,11865.0
1742,2001,Russell County,0.0,15.9,38734.45,0.9358585506528292,11903.0
1743,2002,Russell County,0.0,17.6,39132.73,0.9366223807485756,12140.0
1744,2003,Russell County,1.0,16.8,39611.85,0.937970726288918,12281.0
1745,2004,Russell County,0.0,16.5,39505.3,0.9409543071841028,11520.0
1746,2005,Russell County,0.0,19.3,38494.52,0.9422460928654104,11955.0
1747,2006,Russell County,0.0,17.4,38535.61,0.9396321411043482,11812.0
1748,2007,Russell County,0.0,18.4,40891.67,0.9484883368114059,11772.0
1749,2008,Russell County,0.0,19.4,37529.5,0.9424479042228624,11877.0
1750,2009,Russell County,0.0,19.1,38975.65,0.8950594390392207,12396.0
1751,2010,Russell County,0.0,18.1,39773.12,0.8976100368839032,12082.0
1752,2011,Russell County,0.0,23.5,34196.15,0.9051656792875544,11942.0
1753,2012,Russell County,0.0,18.3,39348.91,0.913459676236254,11781.0
1754,2013,Russell County,0.0,18.8,38985.02,0.9152363964387421,11604.0
1755,2014,Russell County,0.0,17.9,39685.28,0.9210834752743552,11269.0
